,rndf1,rndf2,rndf3
0,0.0,0.604,0.396
1,0.03,0.53,0.44
2,0.24,0.64,0.12
3,0.58,0.41,0.01
4,0.0,0.19,0.81
5,0.03,0.51,0.46
6,0.55,0.45,0.0
7,0.0,0.07,0.93
8,0.0,0.99,0.01
9,0.0,0.68,0.32
10,0.02,0.98,0.0
11,0.01,0.72,0.27
12,0.0,0.43,0.57
13,0.0,0.69,0.31
14,0.13,0.86,0.01
15,0.13,0.78,0.09
16,0.01,0.91,0.08
17,0.0,0.6817857142857142,0.31821428571428567
18,0.3,0.7,0.0
19,0.27,0.7,0.03
20,0.0,0.87,0.13
21,0.0,0.21,0.79
22,0.01,0.24,0.75
23,0.0,0.48033333333333317,0.5196666666666667
24,0.17,0.73,0.1
25,0.0,0.8,0.2
26,0.44,0.06,0.5
27,0.0,0.73,0.27
28,0.05,0.89,0.06
29,0.0,0.77,0.23
30,0.0,0.03,0.97
31,0.57,0.4,0.03
32,0.09,0.47,0.44
33,0.0,0.99,0.01
34,0.0,0.63,0.37
35,0.0,0.76,0.24
36,0.01,0.33,0.66
37,0.0,0.626,0.374
38,0.28,0.71,0.01
39,0.095,0.495,0.41
40,0.0125,0.9875,0.0
41,0.0,0.17983333333333335,0.8201666666666667
42,0.08,0.83,0.09
43,0.05,0.88,0.07
44,0.0,0.8,0.2
45,0.05,0.15,0.8
46,0.07,0.7466666666666666,0.18333333333333335
47,0.08,0.89,0.03
48,0.01,0.32,0.67
49,0.0,0.81,0.19
50,0.0,0.43,0.57
51,0.0,0.66,0.34
52,0.0,0.92,0.08
53,0.07,0.68,0.25
54,0.14,0.79,0.07
55,0.0,0.03,0.97
56,0.6383333333333333,0.3216666666666667,0.04
57,0.02,0.65,0.33
58,0.0,0.345,0.655
59,0.0,0.58,0.42
60,0.04,0.79,0.17
61,0.0,0.17,0.83
62,0.0,0.16,0.84
63,0.0,0.165,0.835
64,0.7063333333333333,0.21366666666666667,0.08
65,0.01,0.9,0.09
66,0.0,0.98,0.02
67,0.64,0.3,0.06
68,0.28,0.72,0.0
69,0.0,0.040095238095238094,0.9599047619047618
70,0.0,0.6466666666666666,0.3533333333333333
71,0.45,0.54,0.01
72,0.0,0.03,0.97
73,0.01,0.29,0.7
74,0.025,0.72,0.255
75,0.09,0.82,0.09
76,0.02,0.82,0.16
77,0.05,0.83,0.12
78,0.01,0.8177500000000001,0.17225000000000001
79,0.18,0.78,0.04
80,0.0,0.04,0.96
81,0.0,0.26,0.74
82,0.58,0.41,0.01
83,0.12166666666666666,0.835,0.04333333333333333
84,0.0,0.92,0.08
85,0.115,0.3926666666666667,0.4923333333333333
86,0.87,0.13,0.0
87,0.0,0.64,0.36
88,0.0,0.0,1.0
89,0.56,0.41,0.03
90,0.79,0.21,0.0
91,0.9,0.1,0.0
92,0.01,0.98,0.01
93,0.0,0.89,0.11
94,0.12,0.86,0.02
95,0.15962301587301583,0.840376984126984,0.0
96,0.1525,0.73,0.1175
97,0.0,0.04,0.96
98,0.0,0.42,0.58
99,0.0,0.53,0.47
100,0.11,0.59,0.3
101,0.52,0.48,0.0
102,0.195,0.715,0.09
103,0.0,0.9,0.1
104,0.0,0.57,0.43
105,0.0,0.6563333333333332,0.3436666666666666
106,0.01,0.99,0.0
107,0.01,0.56,0.43
108,0.01,0.81,0.18
109,0.0,0.06,0.94
110,0.08,0.42,0.5
111,0.0,0.9473239538239536,0.05267604617604617
112,0.0,0.06,0.94
113,0.09166666666666666,0.8383333333333334,0.07
114,0.11,0.74,0.15
115,0.01,0.71,0.28
116,0.19,0.74,0.07
117,0.01,0.92,0.07
118,0.0,0.96,0.04
119,0.02,0.735,0.245
120,0.0,0.7,0.3
121,0.02,0.925,0.055
122,0.01,0.95,0.04
123,0.0,0.5015,0.4985
124,0.0,0.73,0.27
125,0.02,0.94,0.04
126,0.01,0.1,0.89
127,0.0,0.99,0.01
128,0.05,0.78,0.17
129,0.18,0.79,0.03
130,0.52,0.42,0.06
131,0.0,0.78,0.22
132,0.04,0.7,0.26
133,0.62,0.35,0.03
134,0.058666666666666666,0.9413333333333331,0.0
135,0.0,0.075,0.9249999999999998
136,0.0,0.085,0.915
137,0.0,0.7,0.3
138,0.0,0.39,0.61
139,0.0,0.02,0.98
140,0.01,0.511,0.479
141,0.0,0.43666666666666665,0.5633333333333334
142,0.0,1.0,0.0
143,0.18,0.68,0.14
144,0.0,0.44983333333333336,0.5501666666666666
145,0.05,0.9,0.05
146,0.0,0.13,0.87
147,0.0,0.47,0.53
148,0.0,0.6,0.4
149,0.12333333333333332,0.76,0.11666666666666668
150,0.0,0.77,0.23
151,0.27,0.45,0.28
152,0.0,0.8913333333333335,0.10866666666666669
153,0.22,0.6475,0.1325
154,0.11716666666666667,0.7961666666666667,0.08666666666666668
155,0.01,0.93,0.06
156,0.51,0.36,0.13
157,0.0625,0.845,0.0925
158,0.04,0.82,0.14
159,0.41,0.53,0.06
160,0.35,0.56,0.09
