,rndf1,rndf2,rndf3
0,0.0,0.715,0.285
1,0.0,0.75,0.25
2,0.0,0.28,0.72
3,0.0,0.3941666666666667,0.6058333333333333
4,0.03,0.85,0.12
5,0.0,0.04,0.96
6,0.0,0.52,0.48
7,0.0,0.76,0.24
8,0.02,0.76,0.22
9,0.0,0.37,0.63
10,0.51,0.49,0.0
11,0.02,0.8,0.18
12,0.03,0.93,0.04
13,0.0,0.01,0.99
14,0.7471666666666666,0.2528333333333333,0.0
15,0.68,0.32,0.0
16,0.01,0.39,0.6
17,0.0,0.8607142857142857,0.1392857142857143
18,0.0,0.37,0.63
19,0.0,0.5766666666666667,0.42333333333333334
20,0.0,0.5366666666666666,0.4633333333333334
21,0.15666666666666665,0.6333333333333333,0.21
22,0.0,0.82,0.18
23,0.0,0.14,0.86
24,0.02,0.58,0.4
25,0.0,0.55,0.45
26,0.0,0.69,0.31
27,0.0,0.56,0.44
28,0.12,0.85,0.03
29,0.075,0.83,0.095
30,0.76,0.24,0.0
31,0.01,0.5185000000000001,0.4714999999999999
32,0.0,0.28,0.72
33,0.21,0.7,0.09
34,0.01,0.94,0.05
35,0.02,0.5961666666666666,0.3838333333333333
36,0.04,0.91,0.05
37,0.0,0.52,0.48
38,0.02,0.27,0.71
39,0.27,0.65,0.08
40,0.0,0.7,0.3
41,0.0,0.18,0.82
42,0.01,0.76,0.23
43,0.02,0.96,0.02
44,0.0,0.67,0.33
45,0.0,0.12,0.88
46,0.0,0.35308333333333336,0.6469166666666666
47,0.0,0.04,0.96
48,0.54,0.34,0.12
49,0.0,0.75,0.25
50,0.03,0.96,0.01
51,0.44666666666666677,0.4533333333333332,0.1
52,0.0,0.56,0.44
53,0.01,0.75,0.24
54,0.02,0.24,0.74
55,0.48,0.52,0.0
56,0.0,1.0,0.0
57,0.01,0.99,0.0
58,0.0,0.9433333333333332,0.056666666666666664
59,0.02,0.95,0.03
60,0.0,0.05,0.95
61,0.0,0.83,0.17
62,0.02,0.75,0.23
63,0.03,0.545,0.425
64,0.01,0.49,0.5
65,0.01,0.2859999999999999,0.704
66,0.04,0.69,0.27
67,0.2,0.53,0.27
68,0.0,0.76,0.24
69,0.0,0.27,0.73
70,0.0,0.66,0.34
71,0.09,0.86,0.05
72,0.0,0.35,0.65
73,0.81,0.17,0.02
74,0.025,0.895,0.08
75,0.0,0.07,0.93
76,0.09333333333333334,0.6366666666666666,0.27
77,0.0,0.21,0.79
78,0.0,0.025,0.975
79,0.0,0.86,0.14
80,0.01,0.85,0.14
81,0.5,0.49,0.01
82,0.03,0.875,0.095
83,0.0,0.3275,0.6725
84,0.0,0.89,0.11
85,0.01,0.87,0.12
86,0.04,0.57,0.39
87,0.34,0.61,0.05
88,0.05,0.76,0.19
89,0.01,0.17,0.82
90,0.13,0.81,0.06
91,0.06,0.6,0.34
92,0.0,0.86,0.14
93,0.56,0.43,0.01
94,0.49,0.5,0.01
95,0.01,0.74,0.25
96,0.19,0.75,0.06
97,0.0,0.93,0.07
98,0.03,0.86,0.11
99,0.78,0.22,0.0
100,0.03,0.96,0.01
101,0.01,0.58,0.41
102,0.44,0.48,0.08
103,0.05,0.79,0.16
104,0.93,0.07,0.0
105,0.06,0.94,0.0
106,0.07,0.69,0.24
107,0.07,0.31,0.62
108,0.0,0.99,0.01
109,0.0,0.01,0.99
110,0.0,0.15,0.85
111,0.69,0.31,0.0
112,0.0,0.35,0.65
113,0.0,0.16833333333333333,0.8316666666666667
114,0.05,0.92,0.03
115,0.09,0.23,0.68
116,0.0,0.56,0.44
117,0.0,0.07,0.93
118,0.0,0.71,0.29
119,0.0,0.44,0.56
120,0.03,0.19666666666666666,0.7733333333333333
121,0.02,0.81,0.17
122,0.0,0.695,0.305
123,0.0,0.675,0.325
124,0.0,0.625,0.375
125,0.47,0.53,0.0
126,0.0,0.40583333333333327,0.5941666666666666
127,0.07,0.66,0.27
128,0.01,0.25,0.74
129,0.01,0.85,0.14
130,0.01,0.91,0.08
131,0.22,0.76,0.02
132,0.0,0.34,0.66
133,0.62,0.33,0.05
134,0.0,0.008333333333333333,0.9916666666666667
135,0.0,0.13,0.87
136,0.0,0.11,0.89
137,0.0,0.5733333333333334,0.42666666666666664
138,0.01,0.46,0.53
139,0.0,0.235,0.765
140,0.0,0.93,0.07
141,0.0,0.3275,0.6725
142,0.01,0.4,0.59
143,0.0,0.96,0.04
144,0.0,0.74,0.26
145,0.01,0.79,0.2
146,0.32,0.67,0.01
147,0.06,0.94,0.0
148,0.0,0.03,0.97
149,0.01,0.54,0.45
150,0.04,0.34,0.62
151,0.01,0.6,0.39
152,0.08,0.74,0.18
153,0.0,0.23,0.77
154,0.0,0.44,0.56
155,0.0,0.95,0.05
156,0.12,0.27,0.61
157,0.04,0.71,0.25
158,0.042,0.938,0.02
159,0.16,0.69,0.15
160,0.0,0.58,0.42
161,0.0,0.6566666666666666,0.3433333333333334
162,0.0,0.92,0.08
163,0.0,0.8771666666666667,0.12283333333333335
164,0.09,0.78,0.13
165,0.0,0.72,0.28
166,0.01,0.7,0.29
167,0.05,0.49,0.46
168,0.0,0.19166666666666665,0.8083333333333332
169,0.0,0.04,0.96
170,0.5741666666666666,0.3858333333333333,0.04
171,0.02,0.26,0.72
172,0.0,0.0,1.0
173,0.0,0.42,0.58
174,0.79,0.21,0.0
175,0.0,0.6,0.4
176,0.0,0.81875,0.18125
177,0.0,0.6083333333333333,0.3916666666666667
178,0.0,0.97,0.03
179,0.07,0.885,0.045
180,0.22,0.38,0.4
181,0.0,0.9,0.1
182,0.0,0.04166666666666666,0.9583333333333335
183,0.31,0.5133333333333333,0.17666666666666664
184,0.26,0.19,0.55
185,0.0,0.82,0.18
186,0.65,0.33,0.02
187,0.76,0.19,0.05
188,0.0,0.7,0.3
189,0.67,0.33,0.0
190,0.39,0.32,0.29
191,0.05,0.92,0.03
192,0.0,0.8341666666666667,0.16583333333333333
193,0.0,0.0,1.0
194,0.01,0.6716666666666667,0.3183333333333333
195,0.01,0.98,0.01
196,0.04,0.92,0.04
197,0.0,0.1,0.9
198,0.02,0.96,0.02
199,0.47,0.47,0.06
200,0.0,0.84,0.16
201,0.0,0.84,0.16
202,0.01,0.76,0.23
203,0.03,0.9,0.07
204,0.0,0.82,0.18
205,0.0,0.27,0.73
206,0.05,0.79,0.16
207,0.05,0.91,0.04
208,0.034166666666666665,0.9358333333333333,0.03
209,0.0,0.01,0.99
210,0.07,0.75,0.18
211,0.08,0.88,0.04
212,0.0,0.67,0.33
213,0.59,0.41,0.0
214,0.02,0.51,0.47
215,0.24,0.55,0.21
216,0.0,0.5,0.5
217,0.0,0.06,0.94
218,0.06,0.84,0.1
219,0.54,0.46,0.0
220,0.02,0.86,0.12
221,0.01,0.92,0.07
222,0.0,0.0,1.0
223,0.0,0.26,0.74
224,0.0,0.22,0.78
225,0.11,0.04,0.85
226,0.47,0.52,0.01
227,0.026000000000000002,0.774,0.2
228,0.37,0.59,0.04
229,0.03,0.8,0.17
230,0.1,0.76,0.14
231,0.01,0.86,0.13
232,0.03,0.34,0.63
233,0.0,0.81,0.19
234,0.055999999999999994,0.9440000000000001,0.0
235,0.06,0.43,0.51
236,0.35,0.65,0.0
237,0.02,0.5396666666666666,0.4403333333333334
238,0.0,0.22,0.78
239,0.0,0.85,0.15
240,0.0,0.99,0.01
241,0.0,0.95,0.05
242,0.0,0.73,0.27
243,0.0,0.46,0.54
244,0.02,0.9,0.08
245,0.2,0.5,0.3
246,0.28,0.61,0.11
247,0.0,0.5225,0.4775
248,0.02,0.45,0.53
249,0.7866666666666667,0.1,0.11333333333333333
250,0.0,0.5001666666666666,0.49983333333333335
251,0.0,0.49,0.51
252,0.58,0.42,0.0
253,0.3483333333333333,0.6216666666666666,0.03
254,0.2,0.79,0.01
255,0.02,0.98,0.0
256,0.0,0.6801190476190478,0.3198809523809524
257,0.0,0.1625,0.8375
258,0.0,0.27,0.73
259,0.0,0.39,0.61
260,0.0,0.79,0.21
261,0.0,0.92,0.08
262,0.09,0.91,0.0
263,0.0,0.37,0.63
264,0.44,0.49,0.07
265,0.01,0.89,0.1
266,0.14,0.86,0.0
267,0.0,0.75,0.25
268,0.03,0.27,0.7
269,0.0,0.6296865079365079,0.37031349206349207
270,0.0,0.69,0.31
271,0.01,0.305,0.685
272,0.01,0.85,0.14
273,0.0,0.01,0.99
274,0.0,0.09633333333333334,0.9036666666666666
275,0.01,0.17,0.82
276,0.0,0.13833333333333334,0.8616666666666667
277,0.0,0.98,0.02
278,0.0,0.94,0.06
279,0.89,0.11,0.0
280,0.01,0.69,0.3
281,0.0,0.4016666666666667,0.5983333333333334
282,0.12,0.81,0.07
283,0.0,0.74,0.26
284,0.0,0.11,0.89
285,0.01,0.81,0.18
286,0.76,0.24,0.0
287,0.02,0.95,0.03
288,0.0,0.14,0.86
289,0.0,0.0,1.0
290,0.15649999999999997,0.61,0.2335
291,0.01,0.54,0.45
292,0.13,0.81,0.06
293,0.0,0.2783333333333333,0.7216666666666666
294,0.0,0.91,0.09
295,0.61,0.39,0.0
296,0.0,0.9033333333333333,0.09666666666666666
297,0.01,0.46,0.53
298,0.0,0.43,0.57
299,0.5741666666666666,0.3858333333333333,0.04
300,0.0,0.89,0.11
301,0.0,0.10133333333333333,0.8986666666666666
302,0.0,0.16,0.84
303,0.0,0.18,0.82
304,0.07,0.715,0.215
305,0.01,0.9,0.09
306,0.006666666666666666,0.9133333333333333,0.08
307,0.02,0.28,0.7
308,0.54,0.46,0.0
309,0.295,0.415,0.29
310,0.0,0.96,0.04
311,0.0,0.73,0.27
312,0.0,0.0875,0.9125
313,0.0,0.7920833333333333,0.20791666666666667
314,0.0,0.83,0.17
315,0.03,0.88,0.09
316,0.0,0.48,0.52
317,0.0,0.03,0.97
318,0.03,0.07,0.9
319,0.0,0.34,0.66
320,0.12483333333333334,0.7766309523809523,0.09853571428571428
321,0.04,0.9183333333333333,0.04166666666666666
322,0.76,0.23,0.01
323,0.04,0.92,0.04
324,0.005,0.925,0.07
325,0.02,0.07,0.91
326,0.0,0.38,0.62
327,0.0,0.23,0.77
