,xgb1,xgb2,xgb3
0,0.0002470462,0.241613,0.75813997
1,0.0027409145,0.87521434,0.12204472
2,0.015976423,0.8576106,0.12641302
3,0.6878708,0.3118201,0.00030907564
4,0.0001961735,0.3478283,0.6519755
5,0.17542973,0.7293171,0.095253125
6,0.3388423,0.65812904,0.0030286624
7,0.005421439,0.053532824,0.94104576
8,0.03435505,0.82510763,0.14053725
9,0.06517425,0.8447546,0.09007115
10,0.06992229,0.90787864,0.02219905
11,0.0064080325,0.50742227,0.4861697
12,0.008163213,0.47685385,0.51498294
13,0.00036225744,0.44835645,0.5512813
14,0.16494413,0.8332982,0.0017576981
15,0.010919477,0.8244195,0.164661
16,0.010535809,0.8858919,0.103572264
17,0.00041955357,0.7924289,0.20715155
18,0.021537073,0.9432183,0.035244618
19,0.21267241,0.7614776,0.025849996
20,0.0045357766,0.85089797,0.14456624
21,0.0006140729,0.3100471,0.68933886
22,0.014260346,0.39127755,0.5944621
23,0.002192728,0.47038215,0.5274251
24,0.13260053,0.8507348,0.01666472
25,0.00238885,0.64208055,0.3555306
26,0.26278234,0.09554694,0.6416707
27,0.0006727008,0.7694136,0.22991368
28,0.029546581,0.93877214,0.031681206
29,0.0010186238,0.37531686,0.6236645
30,0.00020534122,0.0369059,0.9628888
31,0.57302094,0.35347563,0.07350349
32,0.0023008063,0.81836414,0.17933501
33,0.010876051,0.9096247,0.07949924
34,0.03110111,0.65287256,0.31602636
35,0.00092097255,0.6530506,0.34602845
36,0.046646327,0.6367368,0.3166169
37,0.008759538,0.8974742,0.09376626
38,0.47019306,0.5011031,0.028703839
39,0.09020644,0.69424325,0.21555026
40,0.005808915,0.9635407,0.03065043
41,0.00014048313,0.2552562,0.74460334
42,0.009320206,0.81734455,0.17333528
43,0.16650431,0.699342,0.1341537
44,0.01083009,0.48693982,0.5022301
45,0.026268547,0.28957894,0.6841525
46,0.0027192428,0.9370716,0.060209185
47,0.015855232,0.9714263,0.012718507
48,0.025792923,0.37472963,0.59947747
49,0.0025758345,0.8061295,0.19129464
50,0.0002173199,0.78846073,0.21132195
51,0.0016308856,0.4513719,0.5469972
52,0.0008984407,0.8753786,0.123722896
53,0.017225934,0.6667399,0.3160342
54,0.20066972,0.71358126,0.08574904
55,0.0015372236,0.23513308,0.7633297
56,0.6825969,0.3027789,0.014624151
57,0.0030572682,0.88548815,0.11145465
58,0.0045503182,0.19175395,0.80369574
59,0.0006486241,0.61558735,0.38376406
60,0.18402848,0.78106683,0.034904696
61,0.0029915774,0.02506409,0.9719444
62,0.0009969365,0.025176797,0.9738263
63,0.00018752387,0.028637558,0.97117496
64,0.45340014,0.48878363,0.057816267
65,0.015330978,0.96537906,0.019289985
66,0.022840522,0.78836054,0.18879893
67,0.7237487,0.25307092,0.023180408
68,0.22827728,0.76293564,0.008787107
69,0.0029010435,0.20111196,0.795987
70,0.0008950505,0.48971808,0.50938684
71,0.3196169,0.6774395,0.0029435398
72,0.0016345796,0.11023806,0.8881273
73,0.009227758,0.5683968,0.42237544
74,0.0053274636,0.916953,0.077719554
75,0.009814279,0.83307683,0.15710884
76,0.021463718,0.6973982,0.28113812
